vehicle_id,day,odometer_km,engine_temp_c,vibration_g,battery_voltage_v,brake_pad_mm,tire_pressure_psi,fuel_efficiency_kmpl,rpm,fault_code_present,failing_component,rul_engine,rul_battery,rul_brakes,rul_tires,fault_label
1,0,33290,88.98,0.338,12.7,8.41,31.69,14.64,2134,0,none,999,999,999,999,0
1,1,33484,87.86,0.319,12.66,8.41,31.72,14.52,2151,0,none,999,999,999,999,0
1,2,33672,88.36,0.331,12.72,8.4,31.99,14.47,2148,0,none,999,999,999,999,0
1,3,33855,87.78,0.306,12.65,8.4,31.54,14.7,2190,0,none,999,999,999,999,0
1,4,33929,88.06,0.327,12.74,8.4,31.42,14.69,2171,0,none,999,999,999,999,0
1,5,34053,87.54,0.313,12.66,8.39,31.27,14.85,2134,0,none,999,999,999,999,0
1,6,34219,87.52,0.326,12.72,8.39,31.56,14.71,2154,0,none,999,999,999,999,0
1,7,34308,86.39,0.3,12.65,8.38,31.5,14.58,2196,0,none,999,999,999,999,0
1,8,34421,88.67,0.316,12.72,8.38,31.15,14.48,2153,0,none,999,999,999,999,0
1,9,34590,87.94,0.332,12.72,8.37,31.55,14.53,2151,0,none,999,999,999,999,0
1,10,34659,86.18,0.296,12.64,8.37,31.47,14.37,2153,0,none,999,999,999,999,0
1,11,34746,86.8,0.318,12.65,8.37,31.25,14.72,2099,0,none,999,999,999,999,0
1,12,34915,87.21,0.294,12.7,8.36,31.19,14.6,2169,0,none,999,999,999,999,0
1,13,35068,88.14,0.327,12.76,8.36,31.6,14.62,2227,0,none,999,999,999,999,0
1,14,35123,86.81,0.315,12.63,8.35,31.54,14.51,2110,0,none,999,999,999,999,0
1,15,35174,90.32,0.381,12.71,8.35,31.05,14.12,2179,0,none,999,999,999,999,0
1,16,35228,87.19,0.32,12.75,8.35,31.4,14.52,2127,0,none,999,999,999,999,0
1,17,35289,88.26,0.358,12.7,8.34,31.64,14.45,2121,0,none,999,999,999,999,0
1,18,35379,90.47,0.306,12.74,8.34,31.08,14.74,2184,0,none,999,999,999,999,0
1,19,35597,88.46,0.313,12.63,8.33,30.97,14.59,2232,0,none,999,999,999,999,0
1,20,35805,88.26,0.349,12.71,8.33,31.23,14.77,2186,0,none,999,999,999,999,0
1,21,35845,86.28,0.356,12.78,8.32,31.3,14.47,2227,0,none,999,999,999,999,0
1,22,36053,86.85,0.335,12.67,8.32,31.35,14.52,2182,0,none,999,999,999,999,0
1,23,36096,85.46,0.322,12.65,8.32,30.98,14.38,2155,0,none,999,999,999,999,0
1,24,36257,87.96,0.313,12.68,8.31,31.65,14.66,2222,0,none,999,999,999,999,0
1,25,36386,88.21,0.326,12.64,8.31,31.38,14.6,2269,0,none,999,999,999,999,0
1,26,36430,87.58,0.293,12.66,8.3,31.44,14.79,2139,0,none,999,999,999,999,0
1,27,36530,86.65,0.312,12.65,8.3,31.32,14.2,2110,0,none,999,999,999,999,0
1,28,36665,86.6,0.359,12.84,8.3,31.0,14.48,2182,0,none,999,999,999,999,0
1,29,36871,88.85,0.331,12.68,8.29,31.31,14.28,2159,0,none,999,999,999,999,0
1,30,36936,87.25,0.332,12.74,8.29,31.4,14.62,2171,0,none,999,999,999,999,0
1,31,37072,87.8,0.364,12.77,8.29,31.46,14.4,2124,0,none,999,999,999,999,0
1,32,37119,88.5,0.288,12.74,8.28,31.49,14.33,2150,0,none,999,999,999,999,0
1,33,37269,87.8,0.317,12.7,8.28,31.79,14.04,2159,0,none,999,999,999,999,0
1,34,37449,87.47,0.287,12.71,8.28,31.87,14.24,2203,0,none,999,999,999,999,0
1,35,37521,87.52,0.349,12.72,8.27,31.87,14.79,2186,0,none,999,999,999,999,0
1,36,37684,88.91,0.317,12.7,8.27,31.14,14.75,2121,0,none,999,999,999,999,0
1,37,37889,89.33,0.338,12.79,8.26,31.57,14.24,2166,0,none,999,999,999,999,0
1,38,37952,89.73,0.335,12.66,8.26,31.04,14.56,2120,0,none,999,999,999,999,0
1,39,38022,89.31,0.335,12.58,8.25,31.44,14.57,2185,0,none,999,999,999,999,0
1,40,38092,87.21,0.334,12.61,8.25,31.79,14.62,2202,0,none,999,999,999,999,0
1,41,38263,88.2,0.327,12.71,8.24,31.09,14.52,2162,0,none,999,999,999,999,0
1,42,38363,86.65,0.32,12.77,8.24,31.13,14.39,2176,0,none,999,999,999,999,0
1,43,38520,88.95,0.339,12.72,8.23,32.05,14.51,2088,0,none,999,999,999,999,0
1,44,38737,88.05,0.349,12.61,8.23,30.97,14.23,2137,0,none,999,999,999,999,0
1,45,38909,86.22,0.276,12.7,8.22,31.21,14.64,2196,0,none,999,999,999,999,0
1,46,39089,88.09,0.338,12.71,8.22,31.51,14.41,2161,0,none,999,999,999,999,0
1,47,39131,88.55,0.317,12.69,8.22,31.6,14.15,2117,0,none,999,999,999,999,0
1,48,39334,87.11,0.338,12.68,8.21,31.41,14.77,2221,0,none,999,999,999,999,0
1,49,39394,87.8,0.35,12.7,8.21,31.1,14.43,2109,0,none,999,999,999,999,0
1,50,39456,88.88,0.357,12.62,8.21,31.47,14.34,2187,0,none,999,999,999,999,0
1,51,39570,87.19,0.312,12.64,8.2,31.15,14.64,2161,0,none,999,999,999,999,0
1,52,39641,89.5,0.316,12.62,8.2,31.67,14.48,2213,0,none,999,999,999,999,0
1,53,39805,90.26,0.364,12.7,8.19,31.4,14.77,2135,0,none,999,999,999,999,0
1,54,39917,88.3,0.306,12.61,8.19,30.73,14.33,2150,0,none,999,999,999,999,0
1,55,39983,86.77,0.329,12.67,8.19,31.26,14.59,2193,0,none,999,999,999,999,0
1,56,40063,86.55,0.323,12.82,8.18,31.42,14.84,2172,0,none,999,999,999,999,0
1,57,40235,86.98,0.331,12.65,8.18,31.55,14.77,2183,0,none,999,999,999,999,0
1,58,40368,87.55,0.341,12.6,8.17,31.25,14.15,2109,0,none,999,999,999,999,0
1,59,40451,86.12,0.263,12.67,8.17,32.08,14.64,2146,0,none,999,999,999,999,0
1,60,40599,87.56,0.325,12.69,8.17,31.59,14.62,2195,0,none,999,999,999,999,0
1,61,40804,86.76,0.305,12.76,8.16,31.29,14.83,2151,0,none,999,999,999,999,0
1,62,41022,88.23,0.354,12.68,8.16,31.07,14.46,2186,0,none,999,999,999,999,0
1,63,41096,89.3,0.275,12.65,8.15,30.84,14.39,2178,0,none,999,999,999,999,0
1,64,41224,87.73,0.327,12.64,8.15,31.56,14.68,2184,0,none,999,999,999,999,0
1,65,41388,87.82,0.316,12.66,8.14,31.04,14.3,2133,0,none,999,999,999,999,0
1,66,41581,87.98,0.307,12.74,8.14,31.57,14.52,2142,0,none,999,999,999,999,0
1,67,41646,87.84,0.328,12.65,8.13,31.41,14.26,2222,0,none,999,999,999,999,0
1,68,41793,88.36,0.274,12.64,8.13,31.26,14.34,2197,0,none,999,999,999,999,0
1,69,41949,88.2,0.355,12.63,8.13,31.42,14.92,2102,0,none,999,999,999,999,0
1,70,42088,87.3,0.339,12.71,8.12,30.82,14.65,2145,0,none,999,999,999,999,0
1,71,42225,88.57,0.338,12.72,8.12,30.84,14.66,2127,0,none,999,999,999,999,0
1,72,42409,88.46,0.306,12.63,8.11,31.56,14.6,2144,0,none,999,999,999,999,0
1,73,42528,88.24,0.31,12.72,8.11,31.19,14.47,2223,0,none,999,999,999,999,0
1,74,42568,89.85,0.374,12.67,8.1,30.77,14.49,2157,0,none,999,999,999,999,0
1,75,42730,88.55,0.293,12.73,8.1,31.96,14.59,2155,0,none,999,999,999,999,0
1,76,42785,85.84,0.326,12.67,8.09,31.9,14.52,2235,0,none,999,999,999,999,0
1,77,42924,86.88,0.326,12.75,8.09,31.25,14.21,2168,0,none,999,999,999,999,0
1,78,42967,87.82,0.288,12.61,8.09,31.49,14.45,2066,0,none,999,999,999,999,0
1,79,43011,86.34,0.339,12.71,8.08,32.06,14.64,2184,0,none,999,999,999,999,0
1,80,43104,88.67,0.348,12.67,8.08,31.22,14.46,2200,0,none,999,999,999,999,0
1,81,43201,88.3,0.318,12.74,8.07,30.67,14.39,2137,0,none,999,999,999,999,0
1,82,43412,86.82,0.318,12.75,8.07,31.28,14.34,2166,0,none,999,999,999,999,0
1,83,43532,88.59,0.318,12.73,8.07,31.34,14.69,2127,1,none,999,999,999,999,0
1,84,43609,86.46,0.291,12.73,8.06,31.24,14.35,2165,0,none,999,999,999,999,0
1,85,43813,86.81,0.352,12.71,8.06,31.58,14.32,2124,0,none,999,999,999,999,0
1,86,43939,88.58,0.319,12.71,8.06,31.4,14.71,2201,0,none,999,999,999,999,0
1,87,44064,89.35,0.302,12.6,8.05,31.38,14.74,2240,0,none,999,999,999,999,0
1,88,44147,86.85,0.323,12.68,8.05,31.04,14.96,2240,0,none,999,999,999,999,0
1,89,44213,88.69,0.331,12.76,8.04,31.54,14.7,2194,0,none,999,999,999,999,0
1,90,44310,88.02,0.311,12.63,8.04,31.85,14.9,2223,0,none,999,999,999,999,0
1,91,44392,88.16,0.301,12.71,8.04,31.37,14.29,2166,0,none,999,999,999,999,0
1,92,44454,88.99,0.323,12.71,8.03,31.36,14.51,2125,0,none,999,999,999,999,0
1,93,44574,88.53,0.33,12.6,8.03,31.31,14.75,2211,0,none,999,999,999,999,0
1,94,44721,86.91,0.301,12.71,8.02,31.46,14.81,2212,0,none,999,999,999,999,0
1,95,44787,88.18,0.318,12.67,8.02,31.42,14.45,2143,0,none,999,999,999,999,0
1,96,44902,88.21,0.328,12.64,8.01,31.2,14.84,2122,0,none,999,999,999,999,0
1,97,45057,87.96,0.32,12.75,8.01,30.55,14.63,2231,0,none,999,999,999,999,0
1,98,45255,87.02,0.305,12.68,8.0,31.78,14.92,2155,0,none,999,999,999,999,0
1,99,45439,87.81,0.325,12.71,8.0,32.3,14.72,2140,0,none,999,999,999,999,0
